input,output
"""네가 이 자식아! 내 살을 뜯어먹는 거야.""","C씨의 눈이 빛났다.그래서 C씨는 온종일 자취를 감추고 여관 구석에서 죽을 방법만 생각하고 있을 때 L이라는 친구가 찾아왔다.L씨는 C씨와는 친분은 없었지만, C씨를 돕기 위해 출자한 K씨와는 친분이 있었다. (K씨는 이번 실패로 인해 낙담하여 더 이상 개입하지 않았다).L씨는 C씨를 위로한 뒤에 말했다."
"""그래요, 알았어요, 다 내가 잘못했으니까 그만둬요.""",C씨에게 물었다.
"""들을 게 없어, 물러나.""","C씨는 대답했다. L씨는 더 이상. 저는 당신이 정직한 사람이자 믿을 만한 사람이라고 믿으니, 만약 다시 사업을 해 볼 생각이 있다면 내가 토지 문서를 빌려주겠다. 돈은 없으니까 얼마쯤이면 다시 시작할 자본이 될까?"
"""여보! 내 아우 좀 찾아줘, 미치겠어.""","L씨는 정성을 가지고 물었다.C씨는 C씨의 이 도움에 다시 생기를 얻고 2,000원으로 시작해보면 좋겠다고 답했다. L씨가 재산이 많지 못한 것을 알면서도, 더 많이 돌려 달라고 할 용기도 없었던 것이었다.C씨의 말을 듣고 L씨는 "
"""하지만 어디를 찾아야 할지 알아야지요.""",고 했다. 그리고 토지 문서와 도장을 C씨에게 건넸다.  여기까지 말하고 C씨는 말했다.
"""아니, 그냥 놀러 갈 때 좀 붙잡아 주세요, 부모 없이 가려워 자라온 저놈이.""","라고 했다.실업가인 C씨는 말을 꾸밀 줄 알지 못했다. 그는 내가 여기 적은 말보다도 더 간결하게 표현했다.그 후 어느 기회에 C씨의 소개로 L씨를 만났다. 나는 L씨에게 대해 정성으로 대했다. 들으니 L씨는 C씨에게 도움을 주는 일 외에도 어려운 일을 두 번이나 해결한 사람이었다. 그 내용은 다음과 같았다.L씨는 C씨를 도와준 뒤 얼마 지나지 않아 안동현에서 은취린 중매점을 운영했는데 어떤 기회에 크게 실패하여 파산 직전까지 이르렀다. 그때에 채권자들은 L씨의 평소 신용을 고려해 중매점의 재산만으로 계산을 하고 나머지는 전부 탕감하려 했지만, L씨는 듣지 않았다."
"""얘 영애야! 변덕쟁이 온다. 어서 이리 와.""",자신의 토지를 모두 건네주고 부족한 부분만 탕감받았다. 그 뒤에 L씨는 은취린에 몇 만원을 남겨주고 전에 탕감 받았던 채권자에게 돈을 갚으려 했다.
"""선생님! 저 연애 편지 하나만 써주세요.""","채권자들은 놀라면서 받기를 거절했지만, L씨는 "
"""저 그런 거 못 씁니다.""",고 고집하여 모든 빚을 갚았다.L씨는 그 후 잃었던 재산을 다시 회복하다가 다시 한 번 실패하여 토지까지 다시 내어놓고 무일푼이 되었다. 하지만 이때는 은취린소와 기타 채권자들이 
"""소설 쓰는 분이 그래 연애편지를 못 쓰시나요?""",이라며 토지를 처분하지 않고 몇 년을 그대로 두고 토지 가격이 오르길 기다려 L씨의 손해를 최소화하기로 결정했다.결국 좋은 시세가 돌아와 L씨는 큰 이익을 얻어 전부 빚을 갚을 뿐만 아니라 본래 가지고 있던 재산보다 더욱 늘게 되었다.하지만 그 이상으로 L씨가 이번 실패에서 얻은 신용은 가치가 있는 큰 재산이다. L씨의 말에 따르면 그것은 현금과 같다. L씨가 돈을 필요로 할 때 꾸준히 빌릴 사람이 있을까. 이 신용이야말로 L씨를 수백만 원의 재산가보다도 힘있는 사람으로 만들었다.
"""나는 그런 거 몰라요.""","하고 나는 L씨에게 진심으로 칭찬했을 때, L씨는 겸손하게 대답했다."
"""언니, 나 이 머리 좀 잘라주세요.""",
"""왜 자르려고 그래요? 그냥 둬도 되잖아요.""",날카로운 갈색 머리를 긁으며 역시 말장난이다.
"""매일매일 머리 빗기가 귀찮아서 그래요.""","하고 눈을 크게 떠봤지만 이 사람은 얼마나 노력해도 도움이 안 된다.너무나 젊은데 이렇게 할 일이 없는지 밤낮 방구석에 팔짱을 굳히고 멍하니 앉아서는 얼이 빠져버렸다.그렇지 않으면 이불을 뒤집고 줄서서 낮잠을 자지. 햇빛을 못 보니 얼굴이 누렇게 찌들었다. 경무과 제복공장에서 일하는 저의여동생의 월급으로 우리 둘이 먹고 살고 있다. 여동생이 과부길래 다행이지 남편이라도 있었으면 어떻게 해야 할지 몰랐다. 저희 신세가엄청 작은 줄은 몰라서 맨날,"
"""난 언니 머리가 좋아요, 뭉툭한 게!""",
"""언니, 머리를 더 예쁘게 좀 잘라주세요.""",
"""더 잘라도 안 돼. 이 정도면 좋지 않아?""",
"""그놈 다리를 꺾어놓아야지.""","하고 주름진 얼굴에 화가 다시 치밀 수밖에 없다. 이놈의 사날이란 몇 달인지 몇 년인지 영문을 몰라서다. 그렇지만 저쪽도 빨리들이닥치면 말하기가 좋을 텐데, 우리 집을 깨끗하게 정리하고 들어와야 하는데, 더 지껄일 이유도 없는 것이다."
"""얘! 일찌감치 돌아와라, 감기 걸리라니까.""","그는 말 한 마디 뚜렷하게 남기고 방문을 쳐닫아 버렸다. 그리고 몇 발 뚜덜거리며 다시 가서 문을 열어 잡고,"
"""어이쿠! 어이쿠! 하나님 맙시사!""","장독 옆으로 쏘아 올라가면, 바로 아래방이다. 본심은 괜찮았지만 셋방 놓으려고 구석구석 방을 들인 것이다. 흙칠한 것보다는아직 깨끗하고 신문지로 잘 되어있을지 몰라도 제법 벽은 촘촘하다.바람이 들어와 불빛나게 부풀어 있던 문이다. 조용히 열고 들여다보니 역시나 그 노랑통이가 여전히 이불을 덮고 쿨쿨 자고 있다. 노란 얼굴이피부가 얼굴뼈에 거무튀거린 것 같다. 왜 이런 녀석을 받아들였는지 생각해도 힘들다. 돈도 좋을테니까 팔자에 없는 송장을 쓸까 봐 초조해진다. 첨 올 때에도 그 병색을 알고 있었는데,"
"""하나님 나 잡아가지 왜 이렇게 남겨 두세요!""","하고 겁을 먹으니까,"
"""어이구 이놈의 팔자두!""","이런 비천한 영감쟁이가 또 있다니까. 그리고 그날부터 뒷마당에서 새끼질을 하는 소리로 당황스러워한다. 보기에도 추하고그 신음소리를 들을 때마다 다리가 으스러지는 것 같다. 하지만 더 열받은 건 이렇게 가져온 딸이었다. 버스로 다니니까 아마 거짓말을 잘 하는 모양이다. 감기라고 한마디만 해도 마음이 좀 시원할 텐데 아직도 감기가 남아있는 척 우기는구나. 방을 안 주려고 속임수를 부리는 그 행동을 생각하면 얼굴에 붉은 불이 올라오더라고,"
"""왜 가세요?""",
"""잠깐 또 올게요.""",아버지는 괜한 소리를 하는 것 같이 즉시 벽 쪽으로 돌아눕는다. 그리고 어머니가 쓴소리를 친다.
"""여보세요! 이 밤중에 어디로 가는 거예요?""",하고 소리를 지르지 않을 수가 없다.
"""잠깐 또 올게요.""",아버지는 고개를 돌려 눈을 떠서 그리 마나님께서는 안 보이게 호령을 쳤다. 죽음이 가까워지니 악이 받칠 대로 송두리를 받쳤는지 모양이다.
"""벌써 왔어? 좀 더 있을 거야.""",
"""애두! 목욕하러 왔다니까.""",하고 홀로 입 속으로 중얼거리며 물러가는 것도 좋은 방침일지 모른다. 괜스레 병든 척하고 툭툭거리고 이러니 결국 이쪽이 한 구절 죄인다. 그보다는딸이나 오면 확실히 따져서 내쫓는 것이 일이 쉬울 것이다.그 옆으로 좀 간격을 두고 나란히 붙은 미닫이가 또 하나 있다. 열고자 문설주에 손을 대다가 잠깐 멈칫하였다. 툇마루 위에 아무런 의도 없이놓여 있는 이 구두는 분명히 아키코의 구두일 것이다. 문을 열어볼 용기를 잃고 그는 부엌 쪽으로 돌아가며 쓴 입맛을 다시 찾았다.어떤 계집애들은 왜 그렇게 망상들인지 모른다. 영애하고 아키코는 아무리 잘 봐도 별 것 아닐 것 같다. 아래턱도못 보는 아이들이 자꾸 향수를 찾고 그래도 영애란 계집애는 심술을 내고 내댈 망정 뭘 물으면 대답이나 한다. 요 아키코는 방세를 내라고 해도입을 꼭 다물고는 대꾸 한마디 없다. 여러 번 조르면 그제야 이 쪽이 내 성을 내 가지고
"""목욕은 혼자 가니?""",이렇게 쥐어박는 소리를 한 것이다. 편히 계시라는 말에는 어이가 없어서 고만 찔끔 못 한다.
"""응, 너에게 줄려고 과자 사왔어요.""",쓸 방을 못 쓰고 대금을 논 것은 돈이 아까웠던 때문이었다. 두 아버지 마누라가 사신다고 매서운 노랑통만 구하게 된 것도 아니다.그런데 팔자가 사나운지 모두 도둑질을 한 노랑퉁이 말괄량이 이런 놈들뿐이다. 이런 놈들이 방세를 내는 셈은 아니요 그렇다고 아예 안 내는 것도 아니다. 한 달치를 비록 석 달에 걸쳐서 내는 한이 있더라도 역시 내는 건 내는 것이었다. 저들끼리 양해하고 짠 것처럼 팔십 전 칠십 전 일 원 이렇게 짤막짤막거렸다.오늘은 크게 식을 줄 알았더니 하고 보니 어제나 다름이 없다. 방세를 내놓고 남은 셈은 돈이 아까웠기 때문이다. 방세를 낼 돈이 없어져서 동무를 모은 것도 아니다.하지만 생각해 보아도 내 방을 빌리고 내가 말을 못 하는 것은 병신같은 짓이 틀림없다. 담배를 마루에 내던지고 약을 좀 올려서 가지고다시 아래집으로 내려간다. 기세 좋게 방문을 열었다.
"""그래 그래, 우리 영애가!""",아키코는 네 활개를 벌리고 아키코다운 모습으로 무사히 코를 골아 울리며 있다. 젖병을 열어 흔들면서 부끄럼 없이 두 다리는 이불에 싸 올렸다. 담배 연기로 가득한 방 안에는 분노가 끼치고.
"""다들 생과자만 사왔구나.""",이번에는 문 밖에서도 들리게 목청을 세게 뛰었다. 그러나 생각해 보면 대답 없는 아키코가 꿈속에서 대답할 리가 없다. 그저 입 속으로
"""그 손으로 그냥 먹니? 얘! 난 싫다고!""","미닫이가 확 닫히는 소리에 문틀 위의 안약병이 떨어진다. 그제야 아키코는 조심히 눈을 떴다. 젠장, 이런 것을 누가 보게 했나. 한옆에 놓인 손거울을 집어 들었다.어젯밤 잠을 설쳐서 얼굴이 부었는데 참 답답하다.그는 천장을 향해 연기를 뿜으며 가만히 바라보았다. 예리한 입에서 연기가 고리가 되어 한 바퀴 두 바퀴 돌면서 나온다. 하나씩 손가락으로 찔러 터뜨리고 터뜨리고.아까부터 영애를 기다렸지만 오늘은 정말 가까워도 오지 않는다. 단성사에서 왔는지 창경원에서 왔는지 그래도 혼자는 안 갈 것이다. 이런 때면 방이 좁아서 불편하다. 햇빛이 안 들고 늘 습한 것만 아니었으면 좋겠다. 영애나 아키코 중에 누가 밤에 손님이 있으면 하나는 나가서 잘 수밖에 없다. 둘이 함께 자도 어깨가 부딪힌다. 그런데 셋이 다 자기에게 너무 창피하다. 나가서 자면 숙박료는 오십 전씩 받기로 했으니까 못 자는 것도 아니다만, 다음 날 밝은 낮에 여기까지 허덕허덕 찾아오는 것이 어떤 어색한 일이다.어제도 카페에서 나와서 골목에서 영애를 만나"
"""너 이상해? 나도 오줌을 싸면서 그래.""",하고 귓속말을 하니까
"""그래도 먹는 거 같으냐?""",
"""그 애는 어디 갔어?""",아키코는 좀 수줍어하면서 조금씩 돈 팔십 전을 쥐어줬다. 평소와 같으면 오십 전이지만 미안했기 때문에 그만큼 더 주었다. 영애는부끄러운 듯이 돈을 받아 넣으며 다시 말했다.
"""새벽에 나갔어. 아주 몰래야.""",
"""너는 참 좋겠다. 나도 연애 좀 해봤으면!""",남인사에는 대답 없이
"""무슨 말이야, 나한테 그런 소리 하지 말라니까?""","이것은 분명히 아키코를 조롱하는 말이다. 젠장, 그런 말을 누가 했을까. 그렇게 못생기고 뚱뚱하게 나를 괴롭힌 건 누구였을까. 하지만 영애는 아키코를 괴롭히지 않았을 것이다.아키코는 베개로 허리를 지탱하며 팔뚝시계를 다시 봤다. 오전하고 십오분 또 삼분. 영애가 올 시간인데 누가 와서 갔을까. 한 번 기지개를 켜며 누워서 미닫이쪽으로 고개를 돌렸다. 문 아래쪽에 손가락 하나 들어갈 정도로 작은 구멍이 뚫려있었다. 주인마누라가 분노한 모양으로 안방으로 들어가는 치마꼬리가 보였다. 그리고 마루 뒤쪽 위에는 언제 넣어둔 것인지 엉성하게 뻗은 꽃가지. 붉게 피어난 것은 복숭아꽃일 것이고 노랗게 늘어진 것은 개나리다. 건너편 방문은 여전히 닫혀있고 뒷방으로 가는 흔적도 없다. 저 안에는 지금 제가 별명진 톨스토이가 책상 앞에 앉아 눈을 감고 앉아있을 것이다. 올라가서 이야기 좀 하고 싶어도 주인마누라가 지켜보고 앉아있어서 감히 나오지 못한다.이것은 아키코가 안채의 상황을 정찰하는데 필요한 구멍이었다. 그리고 저녁에는 재미있는 연극을 보는 한 요지경이 될 수도 있다. 어느 때에는 영애와 함께 누워서 베개를 놓고 하나씩 구멍을 맡아서 구경한다. 왜냐면 다섯 점 반 정도 되면 완전히 히스테리인 톨스토이의 누님이 공장에서 나오기 때문이다.그 누님은 성질이 어찌나 괴로운지 대문을 열고 들어오는 기색이 난다. 입을 다물고 눈살을 찌푸린 그 얼굴을 보면 일상 마땅치 않은 그리고 세상의 낙을 모르는 사람처럼 보인다. 어깨는 늘어지고 피곤해 보이는데 걸음만 빠르다. 들어오면 먼저 건너편 툇마루에 빈 도시락을 던져놓는다. 이건 아우를 위한 표식이기도 하고, 이렇게 하면 또한 누님의 불평도 풀린다.그리고 그는 눈을 휘둥그렇게 뜨고 사방의 흠잡을 데를 찾아서 불평을 시작한다. 그러다가 불평이 없을 때도 불평이다."
"""아니, 너 같은 연애는 싫어. 정신적인 연애야.""",말이 다 끝이 꼬부라진 그 책망 아우는 속으로 끽소리를 내지 않았다.
"""오! 속태우는 연애 말이야?""",이것이 하루에 몇 번씩 귀아프게 듣는 말이다. 눈이 빨개지고 목에 굵은 핏줄이 솟아오르며 허리가 구부정해져서 심장까지 흐르는 것 같다. 그러나 이건 평소 때의 이야기다. 어쩌다 공장에서 뒤늦게 본 것 때문에 감독에게 쥐어박히거나 재봉풀에 엄지손톱을 박아서 반쯤 죽어 오는 때도 있다. 그럴 때는 이미 급한 상황이라 더욱 불평이 늘어난다. 그릇이 손에 닿으면 바로 내던져 깨뜨리며
"""얘! 별 소리 하지 말아요. 연애 몇 번 해보면 다 식어지는 걸 모르니? 나는 일상을 편히 혼자 지내는 네가 부럽더라!""",이제야 제정신을 잃어버리는구나. 아우는 여전히 잠자리에 누워 있는 것 같았다. 누님은 혼자 서서 제정신을 잃어가다가 나중에는 울음이 터지는구나.공장 생활에서 받는 힘들음을 모두 아우의 탓으로 돌린다. 그래서 아우는 마당으로 나와서 누님의 어깨를 양손으로 붙잡고
"""부러워? 어이구, 그냥 놔둬.""", 하고 달래지 않을 수 없다.
"""또 뭘 캐냐?""",
"""또 가져갔네, 이럼 난 모른다고!""",
"""뭐?""",하고 벌떡 일어나면서 땅에 주저앉는 아우다. 미안한 듯이 얼굴을 벌리고 일어선 그 아우를 보면 우습기도 하고 가엾기도 했다.하지만 더 웃긴 건 마루에서 저녁을 먹을 때의 모습이다. 누님이 밥을 퍼가지고 올라와서는 말 없이 아우 앞으로 한 그릇을 미끄러지듯 놓는다. 그리고 자기는 자기대로 돌아서서 푹푹 먹고 일어선다. 물론 반찬도 따로 먹는 것이다. 아우는 말없이 다리를 벌려놓고 눈을 감고 그 밥을 먹는다. 방에 앉아 있는 주인마누라는 비밀스런 눈으로 은근히 보내준다.영애는 톨스토이가 너무 멍청한 것 같다고 한다. 암만 얻어먹어도 씩씩하게 대처하지 못하고 이딴 저딴. 그러나 아키코는 바보는 아니고 사람이 너무 착해서 그렇다고 우긴다.그렇지만 누님이 자기 밥을 먹는 아우가 미워서 그런 것도 아니다. 나뭇잎이 날리던 작년 가을이었다. 매일 하 들볶으면서 오가는데 하루는 아우가 없어졌다. 이틀이 지나도 없고 사흘이 지나도 없고 일주일이 넘어가도 아무 소식이 없다. 누님은 아우를 찾으러 다니기에 눈이 뒤집혔다. 그렇게 착실히 다니던 공장에도 며칠씩 빠지기도 했고 밥도 굶어야 했다. 마침내 아우가 미워서 죽었나 보다고 집에 들어오면 마루에 주저앉아서 통곡했다. 심지어 아키코의 손목을 붙잡고
"""편지야!""",
"""어떤 편지를?""",
"""저번에 받은 그 연애편지 말야.""",말끝도 다 못하고 이렇게 울던 누님이 아니었던가. 오랫만에야 아우를 남대문 밖 동무 집에서 찾아왔다. 누님은 기뻐서 또 울었다.그리고 그 다음 날부터 다시 하일하기 시작했다.이 속은 참으로 알 수 없고 여북해야 아키코는 대문 소리만 좀 다르면
"""저런! 그 놈이 왜 가져갔지? 난 제대로 못 읽었는데, 수줍은 척하면서 진심은 엄청난 놈이었네!""","하고 자리 없이 기뻐한다.아키코는 모르게 톨스토이를 마음에 두었다. 꿈을 꾸어도 늘 음울한 속도 모르고 본둥만 둥이 아니었다. 팔을 벌리고 있는 그 소리가 오, 나는 당신을 사랑합니다. 이 가슴에 안겨 주세요. 그러나 현실에는 그런 톨스토이가 아키코의 애타는 속도 모르고 본둥만 둥이 아니었다. 손님에게 꼭 답장할 필요가 있어서"
"""내 톨스토이보고 한 편 써달라. 그럼 이번에 연애편지 쓸 때 그거 보고 쓰면 괜찮겠지.""",아키코가 톨스토이를 찾아가면
"""선생님! 뭘 그렇게 생각하세요?""",
"""아니요.""",하고 무안당한 계집애처럼 그만 얼굴을 벌린다.
"""그렇게 서지 말고 운동 좀 해보세요.""",아키코는 톨스토이가 나한테 흥미를 갖지 않는 것을 알고 어딘지 어색하게 웃었다. 카페에서 부른 여급이라고 넘어보는 맥이어서 아키코로 행세는 하지만 영영 아키코로 받아들이나 보다. 아마도 톨스토이가 어색하게 아랫방 버스 걸과 눈이 맞았는지도 모른다. 왜냐하면 버스 걸이 나갈 때 그때쯤 해서 톨스토이가 세수를 하러 나와서 하는 것을 봤다. 그리고 상상인지 아닌지 모르겠지만 버스 걸도 요즘엔 점점 예쁜 모양을 내기에 몸이 달아올랐다. 며칠 전에 버스 걸이 거울과 가위를 손에 들고 아키코의 방으로 찾아왔다.
"""오늘은 방을 정리해야겠어요. 내 조카도 지금 올 예정이라서요.""",
"""아, 여보! 방 정리 좀 해주세요. 그래야 오는 사람이 들어갈 수 있어요.""",
"""조금만 참아주세요. 이번에는 꼭 해내겠습니다.""",하고 좀 어색한 표정을 지으면서
"""아니, 방세를 안 낸 탓인데요. 내가 오늘부터 잘 데가 없고 이 방을 꼭 써야 해서 방을 내달라는 거예요.""",웃음으로 겨우 봉변한다. 하조르므로 아키코도 그 좋은 머리를 안 자르면 안 된다. 가위에 힘을 줘서 중간을 툭 잘라버렸다. 버스 걸은 손으로 만져보면서 즐거워하는 모습이다. 확 돌아앉아서 만족스러운 얼굴로 웃으며
"""조금만 참아주세요.""",
"""아, 여보! 당신도 그래요? 사람이라고요?""",대꾸하며 질문했지만 아키코는 머리를 버리고 더 잘라버릴까 봐 꺼리지 않았다. 여기에 성을 내어 버스 걸은 자기 방으로 가서 직접 조심스럽게 잘라버렸다. 뜯어놓은 머리에 분을 바르고 아주 만족스럽게 나다니는 여자애다.양말 뒤축에 빵꾸가 좀 나도 제 자신 뒤로 기어들어간다.아침에 나가려고 보면 버스 걸은 커단 책가방을 어깨에 메고 아주 당당하다. 처음에 아키코가 고등학교를 다니는 학생인 줄 알았다. 왜냐하면 그 책가방이 고등학교를 다니는 학생이 사용하는 책가방같이 그렇게 멋있고 훌륭했기 때문이다. 그러나 차차 알아보니 보지도 않는 헌 잡지를 그렇게 싸고 그 사이에 도시락을 꼭 넣어 싼 책가방이었다. 도시락 한 개만 싸면 공장의 여자아이들이나 버스 걸로 알까 봐서 그 무거운 잡지책을 힘겹게 들고 다닌다는 것이 아닌가. 그래도 놓고 돌아올 때는 어떤 도둑처럼 무서운 중학생놈이 쫓아온다고 늘 성화가 난다.
"""저런 자식도 얼간이가 아니에요? 그냥 내가 시키는 대로 놀고 섰을 뿐이에요.""",병들어 이불 속에서 큰 소리로 외치는 병든 아버지다. 그리고 아침마다 딸이 마음에 썩 들도록 그 책가방을 싸는 것도 역시 그의 일이었다. 정성스레 귀를 기울여 문 밖으로 손을 내받치며
"""어쩌면 그렇겠지만, 그래도 제법 매끄러워요.""",이런 말을 하면 영애는 다시 돌아가지 못하고 그제는 눈으로 치마를 걷어 올린다. 이렇게까지 영애는 그 병들이가 몹시도 싫었다. 누렇게 말라붙은 그 얼굴을 보고 김마까라는 병명을 지을 만큼 그렇게 적대감을 느꼈다. 왜냐하면 어느 날 김마까가 영애를 방해한 적이 있었다.그날은 어쩐 일인지 김마까가 저녁부터 딸과 싸우는 모양이었다. 신세를 부리는데도 더 흉측하게 떨며
"""그 구렁이 좀 봐봐요. 옆에 서서 눈짓을 해가며 계속 시키잖아요.""",그렇지 않으면
"""어쩌면 얼간이가 아닐까요? 그래도 제가 말한 대로 노는 게 좋아요.""",아래칸을 흙벽으로 막으면 좋을 텐데 얇은 종이를 들이마고 벽에 발라놓았다. 위칸에서 소리가 나도 아래칸까지 고스란히 흘러들어온다. 그 벽에 머리를 쾅쾅 부딪히며
"""어이구, 얼쩡이가 분수 없네요. 자기가 우와기를 벗어난다고 그래? 자식아!""",제 몸을 흔들며 발칙하게 울고 앉았다. 질긴 귀로도 못 듣는 징그러운 울음소리.가물에 빗방울처럼 오래 기다려 온 영애의 손님이 이마를 접으며 나갔다. 그리고 아무 말 없이 술 취한 걸음으로 비틀비틀 쪽마루로 나선다. 되는 대로 구두가 끌린다.
"""톨스토이가 잠자리에 들었으니 약이 올라서 그런 거에요. 마음대로 하는 게 밉살머리 같지 않아요? 자식, 그냥 한 대 때려주면 좋을 텐데요.""",
"""내가 한 대 때리면 그건 고택골이 된다니까. 그래서 아키코에게는 감히 못 오는 거야.""",
"""얘, 이러면 난 싫어요!""", 하고 대문에서 그 양복을 붙잡는다. 마는 허황한 손이 올라와 툭툭 털어버리고
"""누가 뭘 부러워 그랬니? 또 빼쭉하게?""",그리고 천변을 끼고 비틀거리는 술 취한 걸음이다. 영애는 눈에 독이 잔뜩 올라서 한 전등이 둘씩 보인다. 빈방 안에 홀로 누워 입 속으로 김마까에 대해 악담을 하며 눈물이 흘러내린다.벌써 한 점 사십오 분. 영애는 디툭디툭 들어오며 살짝 웃어보인다. 손에는 통통한 과자봉지. 미닫이를 열면 윗장구석에 쓸어박은 헌 양말 속옷이 보이기에 어지러워한다. 
"""그래, 잘못했다. 그만 둬, 뉂뉂뉂!""",
"""저기! 저놈 봐봐, 그 녀석은 팔을 걷고 구렁이는 마루를 구르며 야단났네.""",
"""얘 재미있어, 구렁이가 약이 엄청 올랐어?""", 하고 살짝 불편해한다.
"""그 자식 보이게, 내 맘대로 남의 방을 막 들어가지 않을래?""",
"""뭐, 일을 할 것 같아? 병신이 지껄인다더니 정말이야?""","손을 뽑으며 달라붙는다. 아키코는 오줌을 싸면서 요강에 손을 담그고 한참 있고, 다시 손을 담그는데도 석 달이 넘었지만 손결이 그다지 고와지지 않는다. 손을 수건으로 닦고 나서"
"""그 자식이 남의 세간을 내 맘대로 내놓지 않나? 경을 칠 자식!""",일단 하나를 덥석 물어뗀다.
"""그건 내가 신경 쓸 게 아냐, 그냥 톨스토이가 바보야! 그래도 부처같이 잠자고 있지 않아. 세상에는 별 바보도 많아!""",
"""아니야 여보! 남의 세간을 그렇게 내놓는 법이 있어?""",
"""당신이 왠 챙견이야?""",하지만 영애는 아키코보다 훨씬 이해심이 컸다. 화를 내지 않고 앉아서 같이 먹는다. 영애는 아키코의 생활에 대해 부러움을 많이 느꼈다. 여러 손님들의 사랑을 받으며 아름다운 얼굴로 뽐내는 아키코. 영애 자신도 꼭 안아주고 싶은 사람이 있는데 그런 사람이었다.
"""오늘부터 여기서 내가 자야 할 테니까... 그래서... 방을 치는데...""",
"""당신 맘대로 방은 치는 거야?""",
"""그럼 내 방 내 맘대로 치지, 누가 뭘 하러 있어?""",
"""당신 맘대로 안 되는데, 그 책상도 저기다 놔. 방세를 내라든지 하는 게 옳아, 등을 밀어 내쫓는 경우가 어디 있어?""",
"""아니, 아키코는 내 거나 낼 생각 하지 웬 걱정이야? 저리 비켜 서!""", 하고 어딘가 당혹스러운 소리를 한다.
"""내 거라니? 누구보고 내야 해. 이 늙은이가 눈깔만 뻑나?""",그렇게 했지만 아키코는 어쩐지 영애에게 너무 심하게 한 듯 싶었다. 제 몸이 못난 것을 은근히 슬퍼하는 애를.
"""이년아! 늙은이를 때려?""",하고 가볍게 말하자
"""아, 이 자식 보네! 누구 뺨을 때려?""",영애는 이렇게 부인하면서도 속으로 짜릿함을 느끼려 한다. 영애도 한때에는 주체궂은 살을 말리기 위해 아편도 먹어봤다. 다른 사람들이 말한 대로 많이 먹었다가 꼬박 이틀 동안 일어나지도 못하고 고생한 경험을 하면서 시야도 등어리가 선명해진다. 그러나 영애에게도 어쩌다 엽서가 오는 일은 참으로 신기한 일이라서 안 할 수 없다.
"""이런 악마를 한다 텐가, 안 노니 이거 안 놔?""",하며 의심이 들어서 제 공책 서랍을 살펴본다. 역시 며칠 전 어떤 전문학교 학생으로부터 받은 귀중한 연애편지가 또 없어졌다. 사내들은 왜 남의 여자 사적을 캐기 좋아하는지 그 이유는 참으로 알 수 없고.
"""사람을 내쫓으려고 그러는 거네, 분란을 일으키려는 게 아니라면 좋을텐데.""",영애는 조용히 울상이 된다.
"""아냐, 누가 내쫓으려고 그래. 세를 내라고 그러니까 아키코가 올라와서 사람을 다 씹고 그러는 거야!""",
"""말 좀 그만해. 내쫓으려고 했던 걸 알면서도 그래, 요전에도 비슷한 일이 있었잖아?""",
"""올해 몇 살이야?""",
"""그년 열아홉이야. 그런데 왜 그렇게...?""",
"""아니, 노파 말이야?""",아키코는 눈썹을 더 까매게 한다. 그리고 무표정하게 영애의 반응만 한참 바라보다가
"""응, 내가 말야? 왜 전번에 쉰일곱이라고 물어봤어? 그리고 이런 고생을 하는 거야.""",그렇게 고요하게 달래준다. 하지만 과연 톨스토이가 도와줄지는 의문이다. 벌써 영애가 오래 전부터 이곳을 떠나자고 조용히 말하고 있는데 아키코는 그런 의사를 모르고 톨스토이는 아키코를 보아도 그냥 넘어가는 듯하다.하지만 한때는 아키코가 버스 걸에게 마음을 두었나 하고 의심해봤으나 실제로는 그런 것도 아닐 것이다. 낮에 사직동 공원으로 올라가면 아키코는 가끔 톨스토이를 만난다. 톨스토이는 굵은 소나무 줄기에 등을 비비고 먼 하늘만 정신없이 바라보며 선다. 아키코가 그 앞을 지나가도 알아보지 않는 척하고 돌아보지도 않는다. 아키코는 속으로 망할 자식이라며 욕을 하기도 한다. 그러나 나중에 알고 보면 알아보지 않은 척하는 게 아니라 사실 눈은 뜨고 있는데 못 보는 것이다. 그렇게 등신같이 한눈 팔고 선 톨스토이다. 이를 보면 아키코는 여자로서 한 때 중도에 퇴학하던 나의 과거를 떠올리며 가엾은 생각이 든다. 남의 돈을 타취하고 그렇게 살아가는 게 얼마나 고생스러운 일인가. 그리고 학교 때 수신선생이 이야기하던 착하고 바보 같은 그 톨스토이가 과연 그런 사람인지 생각하며 안달복달한 마음도 든다.아키코는 기침 소리를 내며 톨스토이에게 다가간다. 눈을 깜빡이며
"""젠장같은 녀석, 씨끼같은 못 박았나!""",하고 불쌍한 얼굴을 짓는다.
"""이제 더 이상 오지마, 이번에는 할 수 없겠지만 다시 오면 그때는 노파를 잡아갈게?""", 하고 어색한 듯이 말을 더듬는다.
"""어서 죽었어?""",조금 답답해서 아키코는 이렇게 권고해본다.
"""어이 분해! 이 녀석들이 또 날 괴롭히는구나! 입이 떡까지 마루에서 치고 차고 물고 했잖아.""",주인 마누라는 분노가 솟아오르며 매섭게 말한다. 방에서만 구석구석 치워야 하는 톨스토이는 정말 밉지 않다.
"""어이 분해! 어이 분해!""",
"""너는 어떻게 돼서 이렇게 혼자 앉아있어?""",
